call_type,calls_2021_22,calls_2025_26,annualized_2021_22,annualized_2025_26,annualized_change,pct_change_annualized
TRAFFIC STOP,5409,17903,5394.2,18202.2,12808.0,237.4
ASSIST CITIZEN,3620,4660,3610.1,4737.9,1127.8,31.2
CHECK THE WELFARE,897,1478,894.5,1502.7,608.2,68.0
CHECK SUBJECT,3907,4187,3896.3,4257.0,360.7,9.3
ACCIDENT,4696,4960,4683.2,5042.9,359.7,7.7
PEACE DISTURBAUNCE,0,136,0.0,138.3,138.3,
ASSIST OFFICER,490,610,488.7,620.2,131.5,26.9
ASSIST OTHER AGENCY,423,522,421.8,530.7,108.9,25.8
TRAFFIC,591,653,589.4,663.9,74.5,12.6
ANIMAL BITE,13,82,13.0,83.4,70.4,541.5
TRAFFIC OBSERVATION,73,140,72.8,142.3,69.5,95.5
BICYCLE STOP,30,83,29.9,84.4,54.5,182.3
SPECIAL ASSIGNMENT,27,66,26.9,67.1,40.2,149.4
ASSIST MEDICS,771,774,768.9,786.9,18.0,2.3
CIVIL MATTER,436,444,434.8,451.4,16.6,3.8
HARASSMENT,1547,1528,1542.8,1553.5,10.7,0.7
C&I DRIVING,279,281,278.2,285.7,7.5,2.7
EXHIBITIONIST,4,11,4.0,11.2,7.2,180.0
LOST PERSON,1,4,1.0,4.1,3.1,310.0
SHOPLIFTING,4,7,4.0,7.1,3.1,77.5
WEATHER EVENT,1,4,1.0,4.1,3.1,310.0
ABANDON CHILD,1,4,1.0,4.1,3.1,310.0
MISCHIEF,5,7,5.0,7.1,2.1,42.0
FORGERY,4,6,4.0,6.1,2.1,52.5
OVE,5,7,5.0,7.1,2.1,42.0
ORDINANCE VIOLATION,2,4,2.0,4.1,2.1,105.0
ARSON,4,6,4.0,6.1,2.1,52.5
FIRE ALARM,0,2,0.0,2.0,2.0,
LIQUOR LAW VIOLATION,7,8,7.0,8.1,1.1,15.7
LITTERING,4,5,4.0,5.1,1.1,27.5
VEHICLE IN FLOODWATER,0,1,0.0,1.0,1.0,
FUNERAL ESCORT,2,2,2.0,2.0,0.0,0.0
ABANDON BIKE,2,2,2.0,2.0,0.0,0.0
SOLICITOR,2,1,2.0,1.0,-1.0,-50.0
PROWLER,2,1,2.0,1.0,-1.0,-50.0
PUBLIC RELATIONS,1,0,1.0,0.0,-1.0,-100.0
GAMBLING,1,0,1.0,0.0,-1.0,-100.0
ANIMAL CONTROL,1,0,1.0,0.0,-1.0,-100.0
ANNOYING PHONE CALLS,1,0,1.0,0.0,-1.0,-100.0
MEDICAL EMERGENCY,2,0,2.0,0.0,-2.0,-100.0
KIDNAPPING,3,1,3.0,1.0,-2.0,-66.7
FOUND PERSON,58,54,57.8,54.9,-2.9,-5.0
MISSING VEHICLE,7,4,7.0,4.1,-2.9,-41.4
TRESPASS VEHICLE,7,3,7.0,3.1,-3.9,-55.7
DEATH INVESTIGATION,56,51,55.8,51.9,-3.9,-7.0
BURGALRY,5,1,5.0,1.0,-4.0,-80.0
SERVE PAPERS,5,1,5.0,1.0,-4.0,-80.0
PROSTITUTION,11,4,11.0,4.1,-6.9,-62.7
TRAFFIC CONTROL,52,44,51.9,44.7,-7.2,-13.9
VEH REPO,502,483,500.6,491.1,-9.5,-1.9
SERVE EXPARTE,12,2,12.0,2.0,-10.0,-83.3
SHOTS HEARD,319,300,318.1,305.0,-13.1,-4.1
LEAVING THE SCENE ACCIDENT,1071,1031,1068.1,1048.2,-19.9,-1.9
UNKNOWN PROBLEM,55,31,54.8,31.5,-23.3,-42.5
ROBBERY,59,34,58.8,34.6,-24.2,-41.2
TRAFFIC HAZARD,1537,1478,1532.8,1502.7,-30.1,-2.0
WARRANT,268,225,267.3,228.8,-38.5,-14.4
LAW ALARM,4426,4301,4413.9,4372.9,-41.0,-0.9
FIREWORKS,239,188,238.3,191.1,-47.2,-19.8
LOCKOUT,110,56,109.7,56.9,-52.8,-48.1
CHECK STATUS OF OFFICER,79,20,78.8,20.3,-58.5,-74.2
STALLED VEHICLE,924,848,921.5,862.2,-59.3,-6.4
MISSING PERSON,378,308,377.0,313.1,-63.9,-16.9
SHOTS FIRED,166,98,165.5,99.6,-65.9,-39.8
DWI,262,189,261.3,192.2,-69.1,-26.4
CHECK TRAFFIC LIGHTS,194,119,193.5,121.0,-72.5,-37.5
FOOT PATROL,505,396,503.6,402.6,-101.0,-20.1
OVERDOSE,180,76,179.5,77.3,-102.2,-56.9
CHECK AREA,2178,2025,2172.0,2058.8,-113.2,-5.2
OTHER OFFENSE,204,82,203.4,83.4,-120.0,-59.0
SUSPICIOUS PERSON,2254,2072,2247.8,2106.6,-141.2,-6.3
RECOVER PROPERTY,509,358,507.6,364.0,-143.6,-28.3
FRAUD,1049,879,1046.1,893.7,-152.4,-14.6
BURGLARY,617,435,615.3,442.3,-173.0,-28.1
PEACE DISTURBANCE,1371,1172,1367.3,1191.6,-175.7,-12.9
TRESPASS SUBJECT,891,684,888.6,695.4,-193.2,-21.7
AUTO THEFT,558,321,556.5,326.4,-230.1,-41.3
PARKING VIOLATION,1841,1496,1836.0,1521.0,-315.0,-17.2
VANDALISM,669,320,667.2,325.3,-341.9,-51.2
ANIMAL COMPLAINT,576,195,574.4,198.3,-376.1,-65.5
ABANDONED  VEHICLE,1062,592,1059.1,601.9,-457.2,-43.2
CHECK BUILDING,609,136,607.3,138.3,-469.0,-77.2
INFORMATION,576,54,574.4,54.9,-519.5,-90.4
ASSIST FIRE,1667,1087,1662.4,1105.2,-557.2,-33.5
ASSAULT,1062,487,1059.1,495.1,-564.0,-53.3
SUSPICIOUS VEHICLE,2148,1541,2142.1,1566.8,-575.3,-26.9
CHECK OPEN BUSINESS,1885,1158,1879.8,1177.4,-702.4,-37.4
SUSPICIOUS INCIDENT,2954,2146,2945.9,2181.9,-764.0,-25.9
DISTURBANCE,6937,6036,6918.0,6136.9,-781.1,-11.3
LARCENY,3589,2640,3579.2,2684.1,-895.1,-25.0
KEEP THE PEACE,1796,776,1791.1,789.0,-1002.1,-55.9
911 CHECKS,13801,10823,13763.3,11003.9,-2759.4,-20.0
TRESPASSING,3704,208,3693.9,211.5,-3482.4,-94.3
